hidden_dim,num_heads,num_blocks,patch_size,learning_rate,test_accuracy,inference_time_ms,status
352,6,12,4,1e-4,NA,NA,failed_error
896,5,9,16,1e-4,NA,NA,failed_error
928,8,10,8,1e-4,0.4749,NA,success
736,10,12,16,1e-4,NA,NA,failed_error
768,5,10,16,1e-4,NA,NA,failed_error
864,5,12,16,1e-4,NA,NA,failed_error
384,12,8,8,1e-4,0.4898,NA,success
576,12,11,16,1e-4,NA,NA,failed_error
992,11,10,16,1e-4,NA,NA,failed_error
704,7,11,8,1e-4,NA,NA,failed_error
128,8,6,16,1e-4,NA,NA,failed_error
192,5,4,8,1e-4,NA,NA,failed_error
928,11,6,4,1e-4,NA,NA,failed_error
800,8,11,4,1e-4,0.3987,NA,success
992,9,6,16,1e-4,NA,NA,failed_error
256,5,12,16,1e-4,NA,NA,failed_error
128,7,4,16,1e-4,NA,NA,failed_error
128,11,6,8,1e-4,NA,NA,failed_error
352,5,10,8,1e-4,NA,NA,failed_error
608,6,10,4,1e-4,NA,NA,failed_error
960,6,8,4,1e-4,0.4303,NA,success
192,10,6,8,1e-4,NA,NA,failed_error
320,11,9,16,1e-4,NA,NA,failed_error
832,8,8,16,1e-4,NA,NA,failed_error
352,9,9,16,1e-4,NA,NA,failed_error
480,9,5,4,1e-4,NA,NA,failed_error
224,5,9,4,1e-4,NA,NA,failed_error
512,8,6,8,1e-4,0.4674,NA,success
736,8,7,16,1e-4,NA,NA,failed_error
928,7,11,4,1e-4,NA,NA,failed_error
416,12,11,16,1e-4,NA,NA,failed_error
896,9,4,8,1e-4,NA,NA,failed_error
832,8,11,8,1e-4,0.4584,NA,success
384,11,4,4,1e-4,NA,NA,failed_error
512,5,9,4,1e-4,NA,NA,failed_error
800,9,11,16,1e-5,NA,NA,failed_error
160,7,9,8,1e-5,NA,NA,failed_error
576,7,9,16,1e-5,NA,NA,failed_error
352,6,9,8,1e-5,NA,NA,failed_error
352,12,11,16,1e-5,NA,NA,failed_error
416,12,8,16,1e-5,NA,NA,failed_error
960,4,12,16,1e-5,NA,NA,failed_error
416,10,4,16,1e-5,NA,NA,failed_error
576,6,12,16,1e-5,NA,NA,failed_error
